What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?	entity
What knighted actor narrates TV 's The World at War ?	human
Why is Microsoft 's Windows 3 software so successful ?	description
What is the chemical symbol for nitrogen ?	entity
What is a fear of bees ?	entity
What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?	description
What is Archimedes famous for ?	description
How many points make up a perfect fivepin bowling score ?	numeric
What was her real name ?	human
What school does Tom attend in Tom Brown 's School Days ?	human
What 's the most powerful country in the world ?	location
What is Dick Clark 's birthday ?	numeric
Stuart Hamblen is considered to be the first singing cowboy of which medium ?	entity
Who discovered imaginary numbers ?	human
What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?	human
Why does the sun shine only a short time in Alaska ?	description
How much did Mercury spend on advertising in 1993 ?	numeric
When was the first stained glass window made ?	numeric
How many degrees cooler is the inside of a cucumber than the air outside ?	numeric
What is a cullion ?	description
How many elevators do you ride to reach the top floor of the Empire State Building ?	numeric
What university football team did O.J. Simpson take to the Rose Bowl ?	human
What happens when lightning strikes a body of water ?	description
What information can you tell me about actor James Cromwell ?	human
Who discovered electricity ?	human
How do you do a topic outline ?	description
What is the name of the art of growing miniature trees ?	entity
How many games are played in a five-team round-robin tournament ?	numeric
What southeast Asian country has the Wang River joining the Ping River at Tak ?	location
What is the approximate population of Las Vegas , N.M ?	numeric
What does a dipsomaniac crave ?	entity
What does the Georgetown `` Hoya '' mean ?	description
What does a chiropodist treat ?	entity
What was the only country in the Western Hemisphere to join the Russian-led boycott of the 1984 Summer Olympics ?	location
What money was used by them ?	entity
What is the abbreviation of the National Bureau of Investigation ?	abbreviation
What is the largest city in Germany ?	location
What California bay 's largest island is Angel Island ?	location
Which city in Canada is the least-populated ?	location
Where is Procter & Gamble headquartered in the U.S. ?	location
In what county is Eckley Colorado ?	location
What does BUD stand for ?	abbreviation
What does EKG stand for ?	abbreviation
What is the abbreviation for micro ?	abbreviation
What do the letters ZIP stand for in the phrase `` ZIP code '' ?	abbreviation
What do the letters D.C. stand for in Washington , D.C. ?	abbreviation
What is the abbreviation for Original Equipment Manufacturer ?	abbreviation
What does the `` blue ribbon '' stand for ?	abbreviation
